name,price,title,url
Indesit LI9S1ES,16743.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 59,5x201,3x65,5 см •  холодильна камера: 261 л •  морозильна камера: 111 л •  розморожування морозильної камери: ручне •  нержавіюча сталь
            
              • 08.2021",/ua/bt-holodilniki/indesit-li9s1es/
Bosch KGN39XW326,24020.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 60x203x66 см •  холодильна камера: 279 л •  морозильна камера: 87 л •  розморожування морозильної камери: No Frost •  білий
            
              • 12.2020",/ua/bt-holodilniki/bosch-kgn39xw326/
Gorenje RK4181PS4,14549.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 55x180x55,7 см •  холодильна камера: 198 л •  морозильна камера: 66 л •  розморожування морозильної камери: ручне •  нержавіюча сталь
            
              • 01.2021",/ua/bt-holodilniki/gorenje-rk4181ps4/
Whirlpool ART 6711/A++ SF,20026.0,"Холодильник з морозильною камерою •  вбудований •  A ++ •  розміри (ШхВхД): 54x177x54,5 см •  холодильна камера: 195 л •  морозильна камера: 80 л •  розморожування морозильної камери: No Frost •  білий
            
              • 07.2014",/ua/bt-holodilniki/whirlpool-art-6711aplusplus-sf/
Samsung RB38T600FSA,22340.0,"Холодильник з морозильною камерою •  окрема •  A + •  розміри (ШхВхД): 59,5x203x65,8 см •  холодильна камера: 273 л •  морозильна камера: 112 л •  розморожування морозильної камери: No Frost •  металевий графіт
            
              • 11.2021",/ua/bt-holodilniki/samsung-rb38t600fsa/
Hotpoint-Ariston HAC20 T321,23387.0,"Холодильник з морозильною камерою •  вбудований •  розміри (ШхВхД): 54x193,5x54,5 см •  холодильна камера: 212 л •  морозильна камера: 68 л •  розморожування морозильної камери: No Frost •  білий
            
              • 09.2021",/ua/bt-holodilniki/hotpoint-ariston-hac20-t321/
Bosch KGN49MIEA,32546.0,"Холодильник з морозильною камерою •  окрема •  A ++ •  розміри (ШхВхД): 70x203x67 см •  холодильна камера: 330 л •  морозильна камера: 108 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 02.2021",/ua/bt-holodilniki/bosch-kgn49miea/
Ardesto FRM-200E,9092.0,"Морозильна скриня •  окрема •  А + •  розміри (ШхВхД): 94,5x85x52,3 см •  морозильна камера: 198 л •  розморожування морозильної камери: ручне •  білий
            
              • 07.2019",/ua/bt-holodilniki/ardesto-frm-200e/
Gorenje RK6201ES4,17555.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 60x200x59,2 см •  холодильна камера: 239 л •  морозильна камера: 110 л •  розморожування морозильної камери: FrostLess •  нержавіюча сталь
            
              • 11.2020",/ua/bt-holodilniki/gorenje-rk6201es4/
Samsung RS62R50314G/UA,55375.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 91,2x178x71,6 см •  холодильна камера: 418 л •  морозильна камера: 229 л •  розморожування морозильної камери: NoFrost •  золотий
            
              • 09.2019",/ua/bt-holodilniki/samsung-rs62r50314gua/
Liebherr CU 2831,16701.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 55x161,2x63 см •  холодильна камера: 212 л •  морозильна камера: 53 л •  розморожування морозильної камери: ручне •  білий
            
              • 02.2019",/ua/bt-holodilniki/liebherr-cu-2831/
Samsung BRB307054WW,33432.0,"Холодильник з морозильною камерою •  вбудований •  А + •  розміри (ШхВхД): 54x193,5x55 см •  холодильна камера: 222 л •  морозильна камера: 72 л •  розморожування морозильної камери: No Frost •  білий
            
              • 06.2021",/ua/bt-holodilniki/samsung-brb307054wwua/
Indesit LI7 S1E W,14235.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 59,5x176x65,5 см •  холодильна камера: 197 л •  морозильна камера: 111 л •  розморожування морозильної камери: ручне •  білий
            
              • 05.2022",/ua/bt-holodilniki/indesit-li7-s1e-w/
Whirlpool SP40 802 EU,36178.0,"Холодильник з морозильною камерою •  вбудований •  А + + •  розміри (ШхВхД): 69x193,5x54,5 см •  холодильна камера: 299 л •  морозильна камера: 101 л •  розморожування морозильної камери: ручне •  білий
            
              • 09.2018",/ua/bt-holodilniki/whirlpool-sp40-802-eu/
Samsung RB38T776FB1,26634.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 59,5x203x65,8 см •  холодильна камера: 273 л •  морозильна камера: 112 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 01.2022",/ua/bt-holodilniki/samsung-rb38t776fb1/
Whirlpool W7X 81O OX,18695.0,"Холодильник з морозильною камерою •  окрема •  розміри (ШхВхД): 59,6x191,2x67,8 см •  холодильна камера: 231 л •  морозильна камера: 104 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 08.2022",/ua/bt-holodilniki/whirlpool-w7x-81o-ox/
Bosch KGN39VW316,22917.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 60x203x66 см •  холодильна камера: 279 л •  морозильна камера: 87 л •  розморожування морозильної камери: No Frost •  білий
            
              • 12.2020",/ua/bt-holodilniki/bosch-kgn39vw316/
Gorenje NRS918EMB,36342.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 91x178,6x64,3 см •  холодильна камера: 334 л •  морозильна камера: 174 л •  розморожування морозильної камери: No Frost •  чорний
            
              • 03.2021",/ua/bt-holodilniki/gorenje-nrs918emb/
Bosch KGN33NW206,16898.0,"Холодильник з морозильною камерою •  окрема •  A + •  розміри (ШхВхД): 60x176x66 см •  холодильна камера: 192 л •  морозильна камера: 87 л •  розморожування морозильної камери: No Frost •  білий
            
              • 07.2017",/ua/bt-holodilniki/bosch-kgn33nw206/
Grunhelm GRW-138DD,9407.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 53x137x48 см •  холодильна камера: 93 л •  морозильна камера: 45 л •  розморожування морозильної камери: ручне •  білий
            
              • 03.2019",/ua/bt-holodilniki/grunhelm-grw-138dd/
Whirlpool SP40 801 EU,31074.0,"Холодильник з морозильною камерою •  вбудований •  A + •  розміри (ШхВхД): 69x193,5x54,5 см •  холодильна камера: 299 л •  морозильна камера: 101 л •  розморожування морозильної камери: ручне •  білий
            
              • 12.2017",/ua/bt-holodilniki/whirlpool-sp40-801-eu/
Bosch KGV39VW316,17549.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 60x201x65 см •  холодильна камера: 249 л •  морозильна камера: 94 л •  розморожування морозильної камери: LowFrost •  білий
            
              • 09.2020",/ua/bt-holodilniki/bosch-kgv39vw316/
LG GW-B509SMUM,25959.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 59,5x203x68,2 см •  холодильна камера: 277 л •  морозильна камера: 107 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 03.2021",/ua/bt-holodilniki/lg-gw-b509smum/
Indesit LI8S1ES,16008.0,"Холодильник з морозильною камерою •  окрема •  розміри (ШхВхД): 59,5x188,9x65,5 см •  холодильна камера: 228 л •  морозильна камера: 111 л •  розморожування морозильної камери: LowFrost •  нержавіюча сталь
            
              • 07.2021",/ua/bt-holodilniki/indesit-li8s1es/
Beko BCNA306E3S,26042.0,"Холодильник з морозильною камерою •  вбудований •  А + + •  розміри (ШхВхД): 54x193x54,5 см •  холодильна камера: 215 л •  морозильна камера: 69 л •  розморожування морозильної камери: No Frost •  білий
            
              • 05.2019",/ua/bt-holodilniki/beko-bcna306e3s/
Samsung RS66A8100B1,45340.0,"Холодильник з морозильною камерою •  окрема •  розміри (ШхВхД): 91,2x178x71,6 см •  холодильна камера: 409 л •  морозильна камера: 243 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 05.2021",/ua/bt-holodilniki/samsung-rs66a8100b1/
LG GW-B509SLKM,23588.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 59,5x203x68,2 см •  холодильна камера: 277 л •  морозильна камера: 107 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 03.2019",/ua/bt-holodilniki/lg-gw-b509slkm/
Liebherr CNf 5703 Pure,25986.0,"Холодильник з морозильною камерою •  окрема •  A •  розміри (ШхВхД): 60,9x201,5x67,5 см •  холодильна камера: 266 л •  морозильна камера: 94 л •  розморожування морозильної камери: No Frost •  білий
            
              • 08.2022",/ua/bt-holodilniki/liebherr-cnf-5703-pure/
Gorenje NRK62DAXL4,23921.0,"Холодильник з морозильною камерою •  окрема •  А + + •  розміри (ШхВхД): 60x203x66,3 см •  холодильна камера: 255 л •  морозильна камера: 106 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 10.2022",/ua/bt-holodilniki/gorenje-nrk62daxl4/
Indesit INFC8 TI21W,17725.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 59,6x191,2x67,8 см •  холодильна камера: 231 л •  морозильна камера: 104 л •  розморожування морозильної камери: No Frost •  білий
            
              • 10.2021",/ua/bt-holodilniki/indesit-infc8-ti21w/
Indesit LI7 SN1E W,16176.0,"Холодильник з морозильною камерою •  окрема •  А + •  розміри (ШхВхД): 59,5x176,3x65,5 см •  холодильна камера: 197 л •  морозильна камера: 98 л •  розморожування морозильної камери: No Frost •  білий
            
              • 06.2022",/ua/bt-holodilniki/indesit-li7-sn1e-w/
Bosch KGN49XL306,32822.0,"Холодильник з морозильною камерою •  окрема •  A ++ •  розміри (ШхВхД): 70x203x66 см •  холодильна камера: 330 л •  морозильна камера: 105 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 10.2018",/ua/bt-holodilniki/bosch-kgn49xl306/
Whirlpool W7X 82O OX,19709.0,"Холодильник з морозильною камерою •  окрема •  розміри (ШхВхД): 59,6x191,2x67,8 см •  холодильна камера: 231 л •  морозильна камера: 104 л •  розморожування морозильної камери: No Frost •  нержавіюча сталь
            
              • 08.2022",/ua/bt-holodilniki/whirlpool-w7x-82o-ox/
